Index,Offset,Original,Cleaned,Translation
1,7041092,\p!,!,
2,7042220,\p!,!,
3,7354440,\p%s\m,[TEXT],
4,7389549,\p\hKeita Watanabe\z,Keita Watanabe,
5,7390462,"\p\hHiroaki %3c'Wait, that's not right'%0c Kai\z","Hiroaki 'Wait, that's not right' Kai",
6,7573364,\pCPU,CPU,
7,7574032,\pSis: Hello there!\nBro: 'Sup!,Sis: Hello there! Bro: 'Sup!,
8,7574064,\pOh?\nIt looks like some villagers\nhave a request for you!\k,Oh? It looks like some villagers have a request for you!,
9,7574128,"\pWhat's this?\nWhy, you don't have enough money!\nNever mind, then... Haaaa...\k","What's this? Why, you don't have enough money! Never mind, then... Haaaa...",
10,7574216,\p%3c%s%0c's HP has been restored!\k,[TEXT]'s HP has been restored!,
11,7574256,"\pWhy, %3c%s%0c...\nI never took you for such a scrooge!\k","Why, [TEXT]... I never took you for such a scrooge!",
12,7574432,\pThank you! Thank you kindly!\nWe'll fix things right up with this!\k,Thank you! Thank you kindly! We'll fix things right up with this!,
13,7574504,\pAcquired %2c%s%0c!\k,Acquired [TEXT]!,
14,7574528,\pIt hurts my heart to see our\npoor village in such a state...\k,It hurts my heart to see our poor village in such a state...,
15,7574688,\pHmm?\nYou're looking a bit weary.\k,Hmm? You're looking a bit weary.,
16,7574768,"\p%3c%s%0c's failed attack has\nmade them a wanted criminal!\nBounty: %2c\,%dG%0c!\k","[TEXT]'s failed attack has made them a wanted criminal! Bounty: ,[NUM]G!",
17,7574856,"\pYou beat the city mayor and won\n%2c\,%dG%0c!\k","You beat the city mayor and won ,[NUM]G!",
18,7574912,\pEnjoy your time on the Wanted list!\nIt's what miscreants like you deserve!,Enjoy your time on the Wanted list! It's what miscreants like you deserve!,
19,7574992,"\pHohoho!\nThought you could rob us\nand get off scot-free, did you?!","Hohoho! Thought you could rob us and get off scot-free, did you?!",
20,7575064,"\pYou beat the town mayor and won\n%2c\,%dG%0c!\k","You beat the town mayor and won ,[NUM]G!",
21,7575120,"\pYou beat the village chief and won\n%2c\,%dG%0c!\k","You beat the village chief and won ,[NUM]G!",
22,7575176,\pH-Have merthy on meee...!\k,H-Have merthy on meee...!,
23,7575208,\pI see.\k,I see.,
24,7575264,"\pGreetings, %3c%s%0c.\k","Greetings, [TEXT].",
25,7575448,"\p%3c%s%0c's\nAT, DF, SP, and MG\nhave all gone down!\k","[TEXT]'s AT, DF, SP, and MG have all gone down!",
26,7575504,\pHmm?\nWhat's this?\k,Hmm? What's this?,
27,7575672,\p%3c%s%0c has gotten drunk!\k,[TEXT] has gotten drunk!,
28,7575704,\p%3c%s%0c has become afraid!\k,[TEXT] has become afraid!,
29,7575736,\p%3c%s%0c has contracted a footsore!\k,[TEXT] has contracted a footsore!,
30,7575776,\p%3c%s%0c has been poisoned!\k,[TEXT] has been poisoned!,
31,7575808,"\pHmm? Why, if it isn't %1c%s%0c!\nHere to cause trouble, eh?\k","Hmm? Why, if it isn't [TEXT]! Here to cause trouble, eh?",
32,7575936,\pHmm?!\nYou don't have enough money!\k,Hmm?! You don't have enough money!,
33,7576144,\pYou...won't?!\nTo let a chance like this slip away...\k,You...won't?! To let a chance like this slip away...,
34,7576240,"\pOh, thank you, thank you!\k","Oh, thank you, thank you!",
35,7576408,"\pCome on; let's get going, already!\k","Come on; let's get going, already!",
36,7576448,"\p%3c%s%0c,\ncould I ask a favor?\k","[TEXT], could I ask a favor?",
37,7576576,\pSis: Oh... Sorry for bothering you.\nBro: Tch! Some help you are!\k,Sis: Oh... Sorry for bothering you. Bro: Tch! Some help you are!,
38,7576648,\pYou're serious?! Yay!\nMy name is %2cMiena%0c.,You're serious?! Yay! My name is Miena.,
39,7576704,\pSis: We're counting on you!\nBro: Make sure it stays in one piece!%0c\k,Sis: We're counting on you! Bro: Make sure it stays in one piece!,
40,7576784,\pSis: We were wondering if you could\ntake this to %3c%s %s%0c.\nBro: Yep! Take it aaall the way there!%0c,Sis: We were wondering if you could take this to [TEXT] [TEXT]. Bro: Yep! Take it aaall the way there!,
41,7577012,\p\h%s,[TEXT],
42,7577160,\pIt's your lucky day.\nNot everyone gets to travel with me!\k,It's your lucky day. Not everyone gets to travel with me!,
43,7577224,\pThank you so much!\nMy name is %2cJubilee%0c.,Thank you so much! My name is Jubilee.,
44,7577312,"\pOh, I'm so glad! %1c＃%0c\nPlease, call me %2cBilda%0c... %1c＃%0c","Oh, I'm so glad! ＃ Please, call me Bilda... ＃",
45,7577408,\pSo you'll take me with you? Wonderful!\nMy name is %2cAngela%0c.,So you'll take me with you? Wonderful! My name is Angela.,
46,7577648,\pI'm so glad I get to travel with you.\nI promise I'll do my best to help!\k,I'm so glad I get to travel with you. I promise I'll do my best to help!,
